epoch_ms,iso,channel,ratio,value,unit
1787758547989,2026-08-26T17:35:47.989000,0,-0.000076327,0.03332520291742736,g
1787758548009,2026-08-26T17:35:48.009000,3,0.001753667,-0.12033283504692542,g
1787758548090,2026-08-26T17:35:48.090000,0,-0.000076318,-0.012830393435111912,g
1787758548109,2026-08-26T17:35:48.109000,3,0.001753678,-0.12518092293858127,g
1787758548190,2026-08-26T17:35:48.190000,0,-0.000076302,-0.09129936766999468,g
1787758548209,2026-08-26T17:35:48.209000,3,0.001753712,-0.14148743935223015,g
1787758548290,2026-08-26T17:35:48.290000,0,-0.000076336,0.07486672644661282,g
1787758548310,2026-08-26T17:35:48.310000,3,0.001753652,-0.11328145801679607,g
1787758548390,2026-08-26T17:35:48.390000,0,-0.000076325,0.019478028407698876,g
1787758548410,2026-08-26T17:35:48.410000,3,0.001753661,-0.11724794632409201,g
1787758548491,2026-08-26T17:35:48.491000,0,-0.000076329,0.042558304603802034,g
1787758548510,2026-08-26T17:35:48.510000,3,0.001753678,-0.12518092293858127,g
1787758548591,2026-08-26T17:35:48.591000,0,-0.000076319,-0.008216320611690931,g
1787758548610,2026-08-26T17:35:48.610000,3,0.001753683,-0.12782524847674437,g
1787758548692,2026-08-26T17:35:48.692000,0,-0.000076315,-0.02667756794477323,g
1787758548711,2026-08-26T17:35:48.711000,3,0.001753663,-0.11812954590845191,g
1787758548792,2026-08-26T17:35:48.792000,0,-0.000076344,0.11640824997573111,g
1787758548813,2026-08-26T17:35:48.813000,3,0.001753707,-0.1392836769987374,g
1787758548893,2026-08-26T17:35:48.893000,0,-0.000076342,0.10717514828942361,g
1787758548913,2026-08-26T17:35:48.913000,3,0.001753645,-0.10975600610929231,g
1787758548993,2026-08-26T17:35:48.993000,0,-0.000076332,0.05640547911346335,g
1787758549014,2026-08-26T17:35:49.014000,3,0.001753733,-0.15118314192042,g
1787758549094,2026-08-26T17:35:49.094000,0,-0.000076336,0.07486672644661282,g
1787758549114,2026-08-26T17:35:49.114000,3,0.001753658,-0.11592578355495915,g
1787758549194,2026-08-26T17:35:49.194000,0,-0.000076299,-0.10976061500307699,g
1787758549214,2026-08-26T17:35:49.214000,3,0.001753694,-0.13311389955307054,g
1787758549294,2026-08-26T17:35:49.294000,0,-0.000076324,0.01486395558434506,g
1787758549315,2026-08-26T17:35:49.315000,3,0.001753732,-0.15074257873574967,g
1787758549395,2026-08-26T17:35:49.395000,0,-0.000076350,0.14410259899512093,g
1787758549415,2026-08-26T17:35:49.415000,3,0.001753642,-0.10843384334026207,g
1787758549495,2026-08-26T17:35:49.495000,0,-0.000076306,-0.07283316429731251,g
1787758549515,2026-08-26T17:35:49.515000,3,0.001753622,-0.09873814077196962,g
1787758549597,2026-08-26T17:35:49.597000,0,-0.000076302,-0.09129936766999468,g
1787758549615,2026-08-26T17:35:49.615000,3,0.001753743,-0.15603122981207584,g
1787758549697,2026-08-26T17:35:49.697000,0,-0.000076347,0.1302554244854596,g
1787758549716,2026-08-26T17:35:49.716000,3,0.001753666,-0.11945170867758477,g
1787758549797,2026-08-26T17:35:49.797000,0,-0.000076352,0.15333074464189572,g
1787758549816,2026-08-26T17:35:49.816000,3,0.001753721,-0.1458944908440938,g
1787758549897,2026-08-26T17:35:49.897000,0,-0.000076308,-0.0636050186505377,g
1787758549916,2026-08-26T17:35:49.916000,3,0.001753690,-0.13091013719957778,g
1787758549998,2026-08-26T17:35:49.998000,0,-0.000076336,0.07486672644661282,g
1787758550016,2026-08-26T17:35:50.016000,3,0.001753668,-0.12077387144661501,g
1787758550098,2026-08-26T17:35:50.098000,0,-0.000076354,0.1671779191516242,g
1787758550116,2026-08-26T17:35:50.116000,3,0.001753801,-0.18379617474771776,g
1787758550198,2026-08-26T17:35:50.198000,0,-0.000076286,-0.17438241472823127,g
1787758550217,2026-08-26T17:35:50.217000,3,0.001753684,-0.1282658116614147,g
1787758550298,2026-08-26T17:35:50.298000,0,-0.000076324,0.01486395558434506,g
1787758550317,2026-08-26T17:35:50.317000,3,0.001753638,-0.10667064417143964,g
1787758550399,2026-08-26T17:35:50.399000,0,-0.000076283,-0.18822958923795977,g
1787758550417,2026-08-26T17:35:50.417000,3,0.001753707,-0.1392836769987374,g
1787758550499,2026-08-26T17:35:50.499000,0,-0.000076357,0.1810250936613527,g
1787758550517,2026-08-26T17:35:50.517000,3,0.001753636,-0.10534895461732605,g
1787758550599,2026-08-26T17:35:50.599000,0,-0.000076327,0.028711130094073545,g
1787758550618,2026-08-26T17:35:50.618000,3,0.001753727,-0.1485388163822569,g
1787758550700,2026-08-26T17:35:50.700000,0,-0.000076342,0.10717514828942361,g
1787758550718,2026-08-26T17:35:50.718000,3,0.001753723,-0.14677609042855633,g
1787758550801,2026-08-26T17:35:50.801000,0,-0.000076354,0.1625638463282704,g
1787758550819,2026-08-26T17:35:50.819000,3,0.001753665,-0.11901114549281183,g
1787758550901,2026-08-26T17:35:50.901000,0,-0.000076314,-0.035910669631147904,g
1787758550920,2026-08-26T17:35:50.920000,3,0.001753688,-0.13002901083013452,g
1787758551002,2026-08-26T17:35:51.002000,0,-0.000076322,0.005630853898037555,g
1787758551020,2026-08-26T17:35:51.020000,3,0.001753662,-0.11768898272378159,g
1787758551102,2026-08-26T17:35:51.102000,0,-0.000076316,-0.02206349512141942,g
1787758551121,2026-08-26T17:35:51.121000,3,0.001753706,-0.13884311381406705,g
1787758551202,2026-08-26T17:35:51.202000,0,-0.000076353,0.1579497735048494,g
1787758551221,2026-08-26T17:35:51.221000,3,0.001753687,-0.12958797443044495,g
1787758551303,2026-08-26T17:35:51.303000,0,-0.000076352,0.15333074464189572,g
1787758551321,2026-08-26T17:35:51.321000,3,0.001753661,-0.11724794632409201,g
1787758551403,2026-08-26T17:35:51.403000,0,-0.000076337,0.07948079926996664,g
1787758551421,2026-08-26T17:35:51.421000,3,0.001753725,-0.147657216797897,g
1787758551503,2026-08-26T17:35:51.503000,0,-0.000076323,0.01024492672139137,g
1787758551522,2026-08-26T17:35:51.522000,3,0.001753666,-0.1198922718622551,g
1787758551603,2026-08-26T17:35:51.603000,0,-0.000076313,-0.040524742454501717,g
1787758551622,2026-08-26T17:35:51.622000,3,0.001753678,-0.12518092293858127,g
1787758551704,2026-08-26T17:35:51.704000,0,-0.000076349,0.1394835701322344,g
1787758551722,2026-08-26T17:35:51.722000,3,0.001753660,-0.11680738313942167,g
1787758551804,2026-08-26T17:35:51.804000,0,-0.000076326,0.024092101231119857,g
1787758551822,2026-08-26T17:35:51.822000,3,0.001753652,-0.11284089483212573,g
1787758551904,2026-08-26T17:35:51.904000,0,-0.000076296,-0.12360778951280547,g
1787758551923,2026-08-26T17:35:51.923000,3,0.001753667,-0.12033283504692542,g
1787758552004,2026-08-26T17:35:52.004000,0,-0.000076346,0.12563639562250592,g
1787758552023,2026-08-26T17:35:52.023000,3,0.001709736,20.668673589553453,g
1787758552105,2026-08-26T17:35:52.105000,0,-0.000076342,0.10717514828942361,g
